id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	15	5	0	15	10	0
3	0	44	44	114	20	40	70	50	0
4	1	65	65	125	34	0	60	26	0
8	0	162	162	164	2	0	2	0	0
10	1	198	198	245	19	14	47	28	0
13	0	273	273	333	5	40	60	55	0
11	1	205	205	482	62	10	277	215	0
12	3	254	254	786	36	3	532	496	0
5	4	99	99	910	90	68	811	721	0
6	4	138	138	937	88	9	799	711	0
9	6	177	177	1219	97	9	1042	945	0
20	6	350	370	1306	112	162	936	844	20
2	6	3	3	1320	88	54	1317	1229	0
18	8	335	336	1423	140	89	1087	948	1
14	8	290	290	1440	118	22	1150	1032	0
19	8	336	360	1462	87	78	1102	1039	24
17	12	313	313	1657	169	81	1344	1175	0
16	10	302	312	1704	135	181	1392	1267	10
15	17	299	299	1725	229	65	1426	1197	0
7	12	152	152	1735	186	128	1583	1397	0
0	0	0	0	1735	13	0	1735	1722	0
