id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	100	116	133	17	0	17	16	16
1	0	0	0	166	28	86	166	138	0
3	0	37	63	306	46	61	243	223	26
5	0	94	109	340	23	20	231	223	15
2	0	17	23	450	96	80	427	337	6
9	0	169	306	497	6	7	191	322	137
15	0	324	501	517	16	0	16	177	177
16	0	325	517	568	51	0	51	192	192
19	0	417	613	626	13	0	13	196	196
12	0	255	456	678	36	38	222	387	201
14	0	320	497	697	14	29	200	363	177
10	0	182	308	738	52	79	430	504	126
13	0	285	481	794	17	44	313	492	196
7	0	124	173	835	86	47	662	625	49
20	0	422	626	861	41	17	235	398	204
17	0	336	568	891	34	23	323	521	232
18	0	351	576	894	25	43	318	518	225
4	0	82	100	996	192	175	896	722	18
11	0	195	340	1009	140	118	669	674	145
8	0	130	217	1203	141	289	986	932	87
0	0	0	0	1203	129	0	1203	1074	0
