id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	25	31	32	1	0	1	6	6
1	0	0	0	58	45	11	58	13	0
4	0	66	66	73	7	0	7	0	0
3	0	35	42	110	29	38	68	46	7
6	0	108	120	123	3	0	3	12	12
7	0	111	123	153	20	0	30	22	12
12	0	172	206	212	6	0	6	34	34
9	0	142	163	222	20	0	59	60	21
5	0	96	102	458	81	1	356	281	6
17	0	405	468	650	23	24	182	222	63
15	0	271	310	675	59	2	365	345	39
14	0	264	304	749	46	61	445	439	40
11	0	163	186	789	87	4	603	539	23
18	0	429	500	829	43	9	329	357	71
19	0	448	522	831	42	0	309	341	74
10	0	149	183	1030	133	56	847	748	34
20	0	483	548	1076	94	81	528	499	65
16	0	300	333	1077	119	50	744	658	33
8	0	134	153	1092	139	149	939	819	19
13	0	255	291	1255	153	301	964	847	36
0	0	0	0	1255	105	0	1255	1150	0
