id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	104	26	36	104	78	0
4	0	33	46	194	17	12	148	144	13
5	0	37	66	378	35	7	312	306	29
18	0	156	278	443	9	31	165	278	122
20	0	176	300	452	19	0	152	257	124
6	0	52	86	458	31	6	372	375	34
7	0	65	105	804	46	74	699	693	40
3	0	26	36	822	74	51	786	722	10
13	0	123	194	853	48	6	659	682	71
2	0	1	7	861	85	23	854	775	6
14	0	128	224	879	52	41	655	699	96
10	0	98	156	898	65	0	742	735	58
19	0	164	280	943	55	30	663	724	116
12	0	114	179	962	72	7	783	776	65
15	0	134	233	1037	53	124	804	850	99
17	0	155	268	1093	71	122	825	867	113
8	0	75	116	1276	131	61	1160	1070	41
9	0	95	146	1279	141	73	1133	1043	51
16	0	141	248	1359	149	140	1111	1069	107
11	0	107	176	1713	358	225	1537	1248	69
0	0	0	0	1713	176	0	1713	1537	0
