id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
4	0	34	70	104	34	0	34	36	36
8	0	83	223	225	2	0	2	140	140
6	0	71	117	613	88	9	496	454	46
2	0	2	5	673	88	54	668	583	3
9	0	91	225	701	97	9	476	513	134
3	0	23	63	708	20	40	645	665	40
10	0	102	300	721	19	14	421	600	198
12	0	131	324	753	36	3	429	586	193
19	0	175	565	940	87	78	375	678	390
13	0	141	343	1018	5	40	675	872	202
14	0	150	344	1068	118	22	724	800	194
5	0	51	104	1124	90	68	1020	983	53
11	0	106	306	1256	62	10	950	1088	200
17	0	163	536	1533	169	81	997	1201	373
18	0	174	541	1561	140	89	1020	1247	367
16	0	157	470	1590	135	181	1120	1298	313
15	0	155	406	1672	229	65	1266	1288	251
20	0	182	613	1754	112	162	1141	1460	431
7	0	78	197	1773	186	128	1576	1509	119
0	0	0	0	1773	51	0	1773	1722	0
