id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	20	20	30	10	0	10	0	0
5	0	49	74	125	51	0	51	25	25
3	0	30	30	184	61	10	154	93	0
16	0	153	418	438	20	0	20	265	265
18	0	165	494	521	27	0	27	329	329
8	0	82	184	572	10	8	388	480	102
9	0	84	186	586	34	14	400	468	102
4	0	39	66	595	24	25	529	532	27
11	0	89	277	700	129	11	423	482	188
7	0	65	154	779	25	6	625	689	89
6	0	55	125	802	54	63	677	693	70
17	0	164	448	824	68	27	376	592	284
20	0	191	562	850	6	49	288	653	371
10	0	85	206	878	84	63	672	709	121
14	0	128	352	898	108	26	546	662	224
15	0	151	397	936	51	174	539	734	246
12	0	91	301	1020	103	49	719	826	210
13	0	106	346	1202	152	60	856	944	240
19	0	166	521	1679	367	316	1158	1146	355
0	0	0	0	1679	294	0	1679	1385	0
