id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1467.2,93.6,0.0,1467.2,1373.6,0.0
1,0.0,0.0,0.0,55.2,21.0,26.6,55.2,34.2,0.0
2,0.0,17.0,26.0,192.0,56.0,31.4,166.0,119.0,9.0
3,0.0,45.0,92.8,268.2,46.0,40.0,175.4,177.2,47.8
4,0.0,70.6,86.0,321.0,54.8,42.4,235.0,195.6,15.4
5,0.0,91.2,114.0,465.6,56.0,19.2,351.6,318.4,22.8
6,0.0,110.8,251.0,334.2,38.6,15.6,83.2,184.8,140.2
7,0.0,127.8,165.4,531.4,72.6,51.0,366.0,331.0,37.6
8,0.0,146.2,320.6,679.4,84.6,101.4,358.8,448.6,174.4
9,0.0,167.0,402.0,687.4,59.6,20.6,285.4,460.8,235.0
10,0.0,176.8,515.0,847.0,70.6,42.4,332.0,599.6,338.2
11,0.0,188.6,322.4,1032.0,155.2,73.6,709.6,688.2,133.8
12,0.0,215.8,308.6,556.4,50.6,19.4,247.8,290.0,92.8
13,0.0,251.6,360.6,721.4,75.0,90.2,360.8,394.8,109.0
14,0.0,274.4,460.6,626.6,67.6,35.8,166.0,284.6,186.2
15,0.0,289.6,442.2,815.4,81.6,73.0,373.2,444.2,152.6
16,0.0,299.6,524.0,885.6,94.8,74.2,361.6,491.2,224.4
17,0.0,334.8,453.4,837.0,73.0,55.4,383.6,429.2,118.6
18,0.0,347.4,369.6,636.6,48.8,34.4,267.0,240.4,22.2
19,0.0,368.2,476.8,985.8,112.8,84.8,509.0,504.8,108.6
20,0.0,393.4,437.6,685.4,54.4,61.8,247.8,237.6,44.2
