id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1498.6,125.0,0.0,1498.6,1373.6,0.0
1,0.0,0.0,0.0,150.6,21.0,26.6,150.6,129.6,0.0
2,0.0,17.0,26.0,582.6,56.0,31.4,556.6,509.6,9.0
3,0.0,45.0,113.2,586.6,46.0,40.0,473.4,495.6,68.2
4,0.0,70.6,83.2,425.2,54.8,42.4,342.0,299.8,12.6
5,0.0,91.2,107.8,456.8,56.0,19.2,349.0,309.6,16.6
6,0.0,110.8,146.8,654.4,38.6,15.6,507.6,505.0,36.0
7,0.0,127.8,502.0,877.0,72.6,51.0,375.0,676.6,374.2
8,0.0,146.2,203.4,856.0,84.6,101.4,652.6,625.2,57.2
9,0.0,167.0,239.0,764.4,59.6,20.6,525.4,537.8,72.0
10,0.0,176.8,381.4,736.0,70.6,42.4,354.6,488.6,204.6
11,0.0,188.6,479.6,1110.6,155.2,73.6,631.0,766.8,291.0
12,0.0,215.8,256.8,609.4,50.6,19.4,352.6,343.0,41.0
13,0.0,251.6,373.8,873.4,75.0,90.2,499.6,546.8,122.2
14,0.0,274.4,288.8,829.0,67.6,35.8,540.2,487.0,14.4
15,0.0,289.6,332.8,916.2,81.6,73.0,583.4,545.0,43.2
16,0.0,299.6,440.2,957.4,94.8,74.2,517.2,563.0,140.6
17,0.0,334.8,522.8,1019.4,73.0,55.4,496.6,611.6,188.0
18,0.0,347.4,389.4,773.4,48.8,34.4,384.0,377.2,42.0
19,0.0,368.2,504.0,876.2,112.8,84.8,372.2,395.2,135.8
20,0.0,393.4,431.2,804.6,54.4,61.8,373.4,356.8,37.8
