id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	20	20	30	10	0	10	0	0
5	0	49	195	246	51	0	51	146	146
20	0	191	193	250	6	49	57	53	2
4	0	39	185	287	24	25	102	224	146
18	0	165	287	314	27	0	27	122	122
8	0	82	319	343	10	8	24	251	237
7	0	65	314	357	25	6	43	267	249
16	0	153	396	416	20	0	20	243	243
9	0	84	376	642	34	14	266	524	292
11	0	89	521	765	129	11	244	547	432
15	0	151	257	777	51	174	520	575	106
3	0	30	30	804	61	10	774	713	0
6	0	55	66	878	54	63	812	769	11
14	0	128	140	982	108	26	842	746	12
12	0	91	95	1029	103	49	934	835	4
17	0	164	545	1071	68	27	526	839	381
13	0	106	321	1170	152	60	849	912	215
10	0	85	457	1179	84	63	722	1010	372
19	0	166	416	1682	367	316	1266	1149	250
0	0	0	0	1682	297	0	1682	1385	0
