id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	15	5	0	15	10	0
3	0	23	23	88	20	40	65	45	0
8	0	83	91	93	2	0	2	8	8
13	0	141	147	345	5	40	198	199	6
10	1	102	290	535	19	14	245	414	188
12	2	131	310	606	36	3	296	439	179
4	3	34	34	729	34	0	695	661	0
11	3	106	131	862	62	10	731	694	25
5	5	51	51	1068	90	68	1017	927	0
2	5	2	2	1168	88	54	1166	1078	0
9	6	91	93	1195	97	9	1102	1007	2
20	6	182	306	1324	112	162	1018	1030	124
19	7	175	236	1332	87	78	1096	1070	61
6	7	71	71	1358	88	9	1287	1199	0
18	9	174	235	1534	140	89	1299	1220	61
14	9	150	189	1565	118	22	1376	1297	39
16	9	157	174	1651	135	181	1477	1359	17
7	10	78	88	1660	186	128	1572	1396	10
17	12	163	169	1672	169	81	1503	1340	6
15	16	155	174	1722	229	65	1548	1338	19
0	0	0	0	1722	0	0	1722	1722	0
