id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
3	0	44	45	143	20	40	98	79	1
4	0	65	70	147	34	0	77	48	5
8	0	162	178	180	2	0	2	16	16
2	0	3	5	234	88	54	229	143	2
10	0	198	226	366	19	14	140	149	28
13	0	273	333	602	5	40	269	324	60
12	0	254	298	749	36	3	451	459	44
6	0	138	158	893	88	9	735	667	20
11	0	205	234	896	62	10	662	629	29
5	0	99	116	976	90	68	860	787	17
9	0	177	196	1011	97	9	815	737	19
19	0	336	424	1286	87	78	862	863	88
14	0	290	353	1379	118	22	1026	971	63
20	0	350	446	1557	112	162	1111	1095	96
18	0	335	414	1590	140	89	1176	1115	79
17	0	313	389	1629	169	81	1240	1147	76
16	0	302	376	1635	135	181	1259	1198	74
7	0	152	168	1650	186	128	1482	1312	16
15	0	299	366	1722	229	65	1356	1194	67
0	0	0	0	1722	0	0	1722	1722	0
