id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	100	102	119	17	0	17	2	2
5	0	94	119	217	23	20	98	100	25
9	0	169	206	221	6	7	15	46	37
15	0	324	343	359	16	0	16	19	19
14	0	320	332	376	14	29	44	42	12
16	0	325	389	440	51	0	51	64	64
13	0	285	336	449	17	44	113	147	51
19	0	417	463	476	13	0	13	46	46
20	0	422	449	586	41	17	137	123	27
18	0	351	359	589	25	43	230	213	8
17	0	336	520	593	34	23	73	223	184
1	0	0	0	598	28	86	598	570	0
12	0	255	307	626	36	38	319	335	52
10	0	182	221	655	52	79	434	421	39
3	0	37	63	697	46	61	634	614	26
7	0	124	476	863	86	47	387	653	352
2	0	17	23	918	96	80	895	805	6
11	0	195	244	1083	140	118	839	748	49
8	0	130	194	1089	141	289	895	818	64
4	0	82	93	1128	192	175	1035	854	11
0	0	0	0	1128	54	0	1128	1074	0
