id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	93	26	36	93	67	0
10	0	191	219	284	65	0	65	28	28
18	0	304	324	407	9	31	83	94	20
12	0	223	294	466	72	7	172	171	71
20	0	343	466	485	19	0	19	123	123
4	0	65	93	623	17	12	530	541	28
7	0	126	485	737	46	74	252	565	359
14	0	251	284	782	52	41	498	479	33
6	0	101	104	788	31	6	684	656	3
5	0	72	112	835	35	7	723	728	40
2	0	1	7	867	85	23	860	781	6
19	0	320	582	884	55	30	302	509	262
13	0	241	515	925	48	6	410	636	274
9	0	185	208	1008	141	73	800	682	23
15	0	262	293	1038	53	124	745	723	31
17	0	303	494	1072	71	122	578	698	191
16	0	275	566	1122	149	140	556	698	291
3	0	51	325	1150	74	51	825	1025	274
8	0	146	157	1440	131	61	1283	1163	11
11	0	209	614	1698	358	225	1084	1131	405
0	0	0	0	1698	161	0	1698	1537	0
