id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	56	45	11	56	11	0
2	0	25	56	57	1	0	1	31	31
4	0	66	66	73	7	0	7	0	0
3	0	35	57	124	29	38	67	60	22
5	0	96	96	204	81	1	108	27	0
12	0	172	204	210	6	0	6	32	32
6	0	108	210	213	3	0	3	102	102
9	0	142	263	283	20	0	20	121	121
19	0	448	450	492	42	0	42	2	2
7	0	111	519	539	20	0	20	408	408
14	0	264	283	638	46	61	355	328	19
17	0	405	539	645	23	24	106	217	134
18	0	429	440	762	43	9	322	290	11
15	0	271	289	794	59	2	505	464	18
10	0	149	385	875	133	56	490	593	236
11	0	163	388	954	87	4	566	704	225
20	0	483	492	1002	94	81	510	425	9
16	0	300	337	1088	119	50	751	669	37
13	0	255	260	1185	153	301	925	777	5
8	0	134	213	1235	139	149	1022	962	79
0	0	0	0	1235	85	0	1235	1150	0
