id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	39	39	49	10	0	10	0	0
5	0	95	102	153	51	0	51	7	7
8	0	159	165	203	10	8	38	34	6
4	0	75	94	212	24	25	118	113	19
7	0	126	153	230	25	6	77	79	27
9	0	162	175	246	34	14	71	50	13
3	0	58	58	314	61	10	256	195	0
16	0	296	314	334	20	0	20	18	18
18	0	318	355	382	27	0	27	37	37
20	0	369	382	456	6	49	74	81	13
6	0	107	384	587	54	63	203	426	277
15	0	292	334	608	51	174	274	265	42
14	0	247	636	810	108	26	174	455	389
12	0	175	497	857	103	49	360	579	322
17	0	317	746	879	68	27	133	494	429
13	0	204	212	1104	152	60	892	748	8
10	0	164	982	1154	84	63	172	906	818
11	0	171	265	1259	129	11	994	959	94
19	0	320	456	1644	367	316	1188	957	136
0	0	0	0	1644	259	0	1644	1385	0
