id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
4	0	65	70	104	34	0	34	5	5
3	0	44	63	130	20	40	67	66	19
8	0	162	164	166	2	0	2	2	2
2	0	3	5	209	88	54	204	118	2
10	0	198	209	246	19	14	37	29	11
12	0	254	255	312	36	3	57	22	1
13	0	273	288	353	5	40	65	75	15
11	0	205	215	356	62	10	141	89	10
6	0	138	515	616	88	9	101	390	377
5	0	99	110	701	90	68	591	512	11
14	0	290	766	1018	118	22	252	610	476
20	0	350	475	1027	112	162	552	565	125
7	0	152	166	1105	186	128	939	767	14
18	0	335	368	1407	140	89	1039	932	33
9	0	177	1297	1435	97	9	138	1161	1120
19	0	336	356	1510	87	78	1154	1087	20
16	0	302	1034	1516	135	181	482	1079	732
15	0	299	860	1674	229	65	814	1146	561
17	0	313	347	1722	169	81	1375	1240	34
0	0	0	0	1722	0	0	1722	1722	0
