id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	56	45	11	56	11	0
2	0	25	56	57	1	0	1	31	31
4	0	66	66	73	7	0	7	0	0
3	0	35	57	124	29	38	67	60	22
6	0	108	124	127	3	0	3	16	16
7	0	111	127	147	20	0	20	16	16
9	0	142	147	167	20	0	20	5	5
12	0	172	203	209	6	0	6	31	31
14	0	264	278	452	46	61	174	142	14
17	0	405	408	459	23	24	51	31	3
18	0	429	459	562	43	9	103	90	30
15	0	271	284	616	59	2	332	286	13
8	0	134	228	660	139	149	432	387	94
19	0	448	660	702	42	0	42	212	212
11	0	163	170	766	87	4	596	516	7
13	0	255	275	975	153	301	700	567	20
20	0	483	501	1010	94	81	509	433	18
16	0	300	360	1031	119	50	671	612	60
5	0	96	96	1111	81	1	1015	934	0
10	0	149	167	1191	133	56	1024	909	18
0	0	0	0	1191	41	0	1191	1150	0
