FCFS,FeedBackRRS,IdealSJF,RRS,SJF
98.0,95.6,81.0,73.0,89.2
31.2,31.2,31.2,31.2,31.2
83.0,83.0,83.0,83.0,83.0
68.4,68.4,68.4,68.4,68.4
81.6,81.6,81.6,81.6,81.6
83.4,83.4,83.4,83.4,83.4
57.4,57.4,57.4,57.4,57.4
107.2,107.2,107.2,107.2,107.2
125.2,125.2,125.2,125.2,125.2
88.6,88.6,88.6,88.6,88.6
105.2,105.2,105.2,105.2,105.2
