id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	86	93	149	6	7	56	57	7
13	0	145	163	263	17	44	100	101	18
19	0	213	274	292	13	0	18	66	61
5	0	48	54	314	23	20	260	243	6
14	0	163	270	337	14	29	67	160	107
3	0	19	39	347	46	61	308	282	20
15	0	165	364	400	16	0	36	219	199
6	1	51	61	418	17	0	357	350	10
17	1	172	278	453	34	23	175	247	106
1	1	0	0	536	28	86	536	508	0
18	1	180	213	552	25	43	339	347	33
12	2	130	151	668	36	38	517	502	21
20	2	216	226	684	41	17	458	427	10
16	3	166	172	773	51	0	601	556	6
10	4	93	100	808	52	79	708	663	7
7	4	63	68	852	86	47	784	703	5
2	6	9	9	920	96	80	911	815	0
8	6	66	85	1032	141	289	947	825	19
11	7	100	122	1112	140	118	990	872	22
4	12	42	42	1129	192	175	1087	895	0
0	0	0	0	1129	55	0	1129	1074	0
