id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	85	26	36	85	59	0
18	0	156	160	220	9	31	60	55	4
5	0	37	49	347	35	7	298	275	12
20	1	176	192	396	19	0	204	201	16
7	1	65	66	442	46	74	376	331	1
6	1	52	65	448	31	6	383	365	13
4	1	33	52	574	17	12	522	524	19
10	2	98	107	623	65	0	516	460	9
13	2	123	240	686	48	6	446	515	117
19	3	164	176	775	55	30	599	556	12
14	3	128	284	888	52	41	604	708	156
15	3	134	318	932	53	124	614	745	184
12	4	114	231	981	72	7	750	795	117
2	4	1	1	1025	85	23	1024	939	0
17	5	155	347	1057	71	122	710	831	192
3	5	26	26	1073	74	51	1047	973	0
8	9	75	92	1272	131	61	1180	1066	17
16	10	141	153	1289	149	140	1136	999	12
9	10	95	96	1299	141	73	1203	1063	1
11	27	107	156	1716	358	225	1560	1251	49
0	0	0	0	1716	179	0	1716	1537	0
