FCFS,FeedBackRRS,IdealSJF,RRS,SJF
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.6,0.0,85.4,2.0,4.6
21.2,4.0,147.0,4.6,160.0
39.4,3.8,99.8,10.0,53.2
43.0,3.6,223.6,16.6,91.6
60.0,10.0,152.0,23.4,11.6
78.6,22.8,88.2,29.0,210.8
111.0,29.2,266.0,41.8,197.0
126.4,45.8,258.8,41.8,239.6
146.8,111.0,377.0,52.0,350.6
179.6,65.6,262.4,60.2,445.6
208.6,76.6,134.6,64.8,73.0
212.4,33.6,113.4,68.2,230.2
216.2,64.2,215.4,78.6,28.6
233.4,107.2,224.8,84.0,110.2
255.8,39.4,285.0,95.6,290.8
280.4,76.6,130.4,103.0,264.8
298.2,22.6,45.8,112.6,127.8
308.8,31.6,146.0,120.6,295.4
332.4,43.0,88.8,128.8,22.2
