FCFS,FeedBackRRS,IdealSJF,RRS,SJF
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
6.4,0.0,6.4,2.0,6.4
4.6,0.0,4.6,1.0,4.6
23.0,0.0,17.6,6.2,17.6
20.0,0.0,24.2,6.6,12.4
46.4,0.0,48.4,10.6,38.8
83.6,0.0,50.2,16.8,109.0
74.0,0.0,52.8,16.2,34.2
74.8,0.0,91.8,23.6,41.0
103.8,0.0,61.4,25.6,58.2
