id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1292.4,461.2,0.0,1292.4,831.2,0.0
1,0.0,0.0,0.0,80.8,31.2,40.0,80.8,49.6,0.0
2,0.0,82.2,83.8,215.6,83.0,46.8,131.8,50.4,1.6
3,0.0,220.2,227.0,357.0,68.4,59.8,130.0,68.4,6.8
4,0.0,346.2,351.2,523.0,81.6,62.8,171.8,95.2,5.0
5,0.0,448.2,465.2,591.6,83.4,28.2,126.4,60.0,17.0
6,0.0,543.6,581.8,667.8,57.4,23.2,86.0,66.8,38.2
7,0.0,625.8,658.0,895.2,107.2,76.0,237.2,162.2,32.2
8,0.0,715.6,717.2,1080.6,125.2,151.4,363.4,239.8,1.6
9,0.0,818.6,836.2,1005.4,88.6,30.6,169.2,98.2,17.6
10,0.0,866.4,907.0,1085.0,105.2,63.4,178.0,113.4,40.6
