id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1016.8,185.6,0.0,1016.8,831.2,0.0
1,0.0,0.0,0.0,88.2,31.2,40.0,88.2,57.0,0.0
2,0.0,41.4,47.8,204.6,83.0,46.8,156.8,80.2,6.4
3,0.0,110.8,115.4,273.2,68.4,59.8,157.8,94.0,4.6
4,0.0,174.0,191.6,409.0,81.6,62.8,217.4,153.4,17.6
5,0.0,225.0,249.2,405.2,83.4,28.2,156.0,96.8,24.2
6,0.0,273.0,321.4,441.6,57.4,23.2,120.2,111.2,48.4
7,0.0,314.4,364.6,683.4,107.2,76.0,318.8,261.8,50.2
8,0.0,359.8,412.6,824.2,125.2,151.4,411.6,339.2,52.8
9,0.0,411.6,503.4,695.6,88.6,30.6,192.2,195.4,91.8
10,0.0,435.6,497.0,684.8,105.2,63.4,187.8,144.0,61.4
