id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,995.8,164.6,0.0,995.8,831.2,0.0
1,2.0,0.0,0.0,75.4,31.2,40.0,75.4,44.2,0.0
2,6.0,41.4,41.4,416.8,83.0,46.8,375.4,292.4,0.0
3,4.2,110.8,110.8,448.6,68.4,59.8,337.8,269.4,0.0
4,5.8,174.0,174.0,424.2,81.6,62.8,250.2,168.6,0.0
5,5.8,225.0,225.0,546.2,83.4,28.2,321.2,237.8,0.0
6,4.0,273.0,273.0,464.2,57.4,23.2,191.2,133.8,0.0
7,8.0,314.4,314.4,648.4,107.2,76.0,334.0,226.8,0.0
8,8.8,359.8,359.8,758.8,125.2,151.4,399.0,273.8,0.0
9,6.6,411.6,411.6,646.2,88.6,30.6,234.6,146.0,0.0
10,8.2,435.6,435.6,690.8,105.2,63.4,255.2,150.0,0.0
