id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1480.8,107.2,0.0,1480.8,1373.6,0.0
1,0.6,0.0,0.0,230.4,21.0,26.6,230.4,209.4,0.0
2,3.0,9.0,9.0,631.4,56.0,31.4,622.4,566.4,0.0
3,1.6,23.2,27.2,482.8,46.0,40.0,455.6,413.6,4.0
4,3.2,36.4,40.2,555.8,54.8,42.4,515.6,464.6,3.8
5,2.4,46.8,50.4,632.8,56.0,19.2,582.4,530.0,3.6
6,2.4,56.8,66.8,600.2,38.6,15.6,533.4,504.8,10.0
7,3.0,65.6,88.4,686.8,72.6,51.0,598.4,548.6,22.8
8,4.6,75.0,104.2,749.4,84.6,101.4,645.2,589.8,29.2
9,3.8,85.8,131.6,709.6,59.6,20.6,578.0,564.2,45.8
10,4.8,91.0,202.0,830.6,70.6,42.4,628.6,669.0,111.0
11,10.8,97.2,162.8,1177.8,155.2,73.6,1015.0,925.4,65.6
12,2.6,111.0,187.6,660.4,50.6,19.4,472.8,498.8,76.6
13,4.4,129.2,162.8,732.2,75.0,90.2,569.4,528.0,33.6
14,4.2,141.0,205.2,898.0,67.6,35.8,692.8,689.4,64.2
15,5.0,149.0,256.2,909.6,81.6,73.0,653.4,679.0,107.2
16,6.4,154.4,193.8,1054.8,94.8,74.2,861.0,805.6,39.4
17,4.8,172.4,249.0,909.6,73.0,55.4,660.6,664.2,76.6
18,2.8,179.0,201.6,687.0,48.8,34.4,485.4,459.2,22.6
19,8.0,189.6,221.2,964.4,112.8,84.8,743.2,662.0,31.6
20,2.8,202.6,245.6,724.2,54.4,61.8,478.6,467.2,43.0
