id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	13	14	1	0	1	0	0
4	0	34	41	48	7	0	7	7	7
6	0	55	60	63	3	0	3	5	5
1	0	0	0	78	45	11	78	33	0
7	0	57	63	128	20	0	65	51	6
12	0	89	151	157	6	0	6	62	62
9	0	73	108	187	20	0	79	94	35
3	0	18	18	253	29	38	235	206	0
17	0	208	273	499	23	24	226	268	65
15	0	140	196	667	59	2	471	468	56
18	0	220	303	689	43	9	386	426	83
19	0	230	322	701	42	0	379	429	92
5	0	49	59	711	81	1	652	581	10
14	0	136	190	719	46	61	529	537	54
11	0	84	131	834	87	4	703	663	47
20	0	248	358	1024	94	81	666	682	110
10	0	77	128	1044	133	56	916	834	51
16	0	155	236	1069	119	50	833	795	81
8	0	69	98	1130	139	149	1032	922	29
13	0	131	187	1221	153	301	1034	937	56
0	0	0	0	1221	71	0	1221	1150	0
