id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	20	20	30	10	0	10	0	0
8	0	82	87	130	10	8	43	38	5
7	0	65	66	144	25	6	78	54	1
4	0	39	71	153	24	25	82	90	32
9	0	84	89	167	34	14	78	49	5
16	0	153	186	206	20	0	20	33	33
3	0	30	30	278	61	10	248	187	0
20	0	191	206	282	6	49	76	85	15
18	0	165	282	309	27	0	27	117	117
15	0	151	208	448	51	174	240	246	57
6	0	55	309	475	54	63	166	366	254
14	0	128	566	731	108	26	165	495	438
12	0	91	501	778	103	49	277	584	410
17	0	164	667	800	68	27	133	568	503
5	0	49	800	851	51	0	51	751	751
13	0	106	109	1076	152	60	967	818	3
10	0	85	954	1126	84	63	172	957	869
11	0	89	229	1231	129	11	1002	1013	140
19	0	166	395	1616	367	316	1221	1083	229
0	0	0	0	1616	231	0	1616	1385	0
