id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	13	14	1	0	1	0	0
1	0	0	0	56	45	11	56	11	0
6	0	55	58	61	3	0	3	3	3
4	0	34	61	68	7	0	7	27	27
7	0	57	68	88	20	0	20	11	11
12	0	89	91	97	6	0	6	2	2
9	0	73	97	117	20	0	20	24	24
3	0	18	18	172	29	38	154	125	0
17	0	208	212	275	23	24	63	44	4
14	0	136	139	326	46	61	187	144	3
18	0	220	228	339	43	9	111	76	8
15	0	140	340	424	59	2	84	225	200
19	0	230	489	531	42	0	42	259	259
11	0	84	456	693	87	4	237	522	372
13	0	131	136	803	153	301	667	519	5
20	0	248	264	866	94	81	602	524	16
5	0	49	57	1048	81	1	991	918	8
8	0	69	541	1058	139	149	517	850	472
16	0	155	184	1079	119	50	895	805	29
10	0	77	88	1159	133	56	1071	949	11
0	0	0	0	1159	9	0	1159	1150	0
