id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	39	39	49	10	0	10	0	0
4	0	75	75	135	24	25	60	36	0
7	0	126	145	185	25	6	40	34	19
8	0	159	159	241	10	8	82	72	0
9	0	162	162	275	34	14	113	79	0
20	0	369	369	424	6	49	55	49	0
16	1	296	306	499	20	0	193	183	10
3	2	58	58	687	61	10	629	568	0
18	2	318	320	696	27	0	376	351	2
15	3	292	292	750	51	174	458	407	0
6	3	107	107	786	54	63	679	625	0
17	4	317	317	877	68	27	560	492	0
5	4	95	95	900	51	0	805	754	0
12	5	175	185	970	103	49	785	692	10
10	6	164	165	1087	84	63	922	839	1
14	7	247	257	1139	108	26	882	784	10
11	10	171	229	1211	129	11	982	911	58
13	10	204	214	1227	152	60	1013	871	10
19	26	320	343	1710	367	316	1367	1023	23
0	0	0	0	1710	325	0	1710	1385	0
